system:index,CHILI,EVH,rdnbr,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,Max Gust,Slope,struccond
605_0,237,10,1037.385116,232.90842,46,59,8.4,11.6,75,29.1099987,29.51148,2
606_0,166,10,358.9422428,100.448265,54,74,6.7,8.8,81,13.10999966,12.531488,2
607_0,219,10,356.6392211,242.19197,48,62,7.8,10.9,8,30.25,20.594744,2
608_0,233,10,852.226462,242.73596,47,61,8.1,11.2,16,25.75,32.978664,2
609_0,116,10,312.5854441,55.307102,46,54,9.5,11.8,-56,29.86999893,14.626971,2
611_0,209,9,79.54155961,162.76425,55,76,6.7,8.3,16,12.36999989,13.83257,2
612_0,171,9,306.3332768,24.922184,54,75,6.7,8.6,49,13.5,2.3225205,2
613_0,194,1,3355.377574,194.03973,44,57,8.9,11.7,109,18.93000031,3.4486742,2
615_0,172,10,922.8728943,287.86978,41,54,9.7,12.2,-3,24.60000038,15.6317425,2
616_0,181,11,454.9337468,118.1854,54,75,6.8,8.4,-39,14.30999947,0.57059973,2
617_0,252,10,956.08228,189.03728,62,78,6.1,8,-76,21,38.654064,2
618_0,197,11,957.2717013,161.28897,51,61,8.3,10.8,46,22.26999855,8.489639,2
619_0,190,10,280.0292624,236.51976,41,53,8.9,12.7,-19,32.81999969,4.1509366,2
620_0,181,9,208.274784,137.43852,53,72,6.8,9.1,26,18.56999969,1.1773682,2
621_0,185,10,461.8888026,276.87805,64,79,6,7.8,30,19.76000023,24.12836,2
622_0,188,9,1192.688501,194.88945,42,54,9.3,12.8,39,20.70999908,1.8190628,2
623_0,218,10,985.5252223,246.87625,45,57,9,11.5,21,26.47999954,40.60369,2
624_0,206,11,1202.415863,170.41609,53,72,6.8,9.1,13,19.77999878,11.540761,2
626_0,119,11,951.9217014,90.393776,64,81,6,7.5,-10,23.01000023,32.699253,2
627_0,221,9,752.3999972,217.66235,44,58,8.6,11.7,14,30.6799984,18.56092,2
628_0,171,1,830.143956,340.50015,41,53,9.8,12.3,90,25.01000023,4.4644637,2
629_0,184,11,825.7419933,139.07373,54,75,6.8,8.4,-29,14.5899992,3.6610723,2
631_0,183,9,1157.057393,272.72324,47,60,8.2,11.3,29,23.61999893,32.961052,2
632_0,143,2,535.5649133,176.7376,38,54,9.2,12,-16,29.15999985,6.842602,2
634_0,181,10,1305.811199,120.297714,54,75,6.8,8.5,-28,17.29999924,6.0206275,2
635_0,208,9,-41.07672649,186.97653,54,75,6.7,8.5,51,15.61999989,10.507341,2
636_0,133,11,992.0231649,46.93734,40,53,10.3,12.3,22,18.30999947,16.391619,2
637_0,214,8,565.8051355,161.63779,54,75,6.8,8.4,4,14.5899992,16.384373,2
639_0,200,11,582.1024304,224.32317,43,56,9.2,12,17,17.57999992,2.1544526,2
640_0,185,8,414.9319578,128.87602,55,76,6.7,8.4,53,13.13000011,6.446652,2
643_0,168,1,1034.382462,112.65599,44,58,8.6,11.9,-28,27.65999985,24.436022,2
644_0,221,11,557.7081636,243.4529,55,76,6.6,8.3,-86,13.2699995,31.869429,2
645_0,199,11,262.8348358,138.49686,65,83,5.7,7.2,34,17.85000038,8.900569,2
646_0,119,11,655.5180893,93.27708,50,67,7.2,10.1,19,38.37999725,29.171692,2
647_0,163,11,1016.225682,63.493977,55,76,6.8,8.3,3,11.73999977,7.5128818,2
648_0,217,11,838.8154318,169.38844,43,55,9,12.1,16,25.54999924,19.316593,2
649_0,203,1,928.4332709,230.15514,41,53,10.2,12.4,-27,16.90999985,9.710358,2
650_0,239,10,606.8483466,173.82849,35,46,11.2,13.4,4,21.05999947,36.000446,2
651_0,179,10,894.0278962,107.74021,55,76,6.6,8.3,70,13.88999939,5.233505,2
652_0,212,9,1120.066061,155.56058,41,53,8.9,12.7,0,32.80999756,17.597178,2
653_0,207,8,778.4960617,162.28642,56,77,6.4,8.4,14,13.88000011,13.998864,2
654_0,144,10,1028.265259,102.492874,43,58,8.2,11.7,64,33.54999924,18.985903,2
655_0,229,9,522.5704739,220.30782,39,53,10.7,12.4,-1,14.61999989,21.812084,2
656_0,196,10,30.64567373,174.17902,55,77,6.4,8.1,-27,14.25,10.764634,2
657_0,165,11,950.514674,68.24213,48,68,7.1,10,7,28.01999855,6.8969,2
658_0,125,11,522.2476836,11.072481,39,54,8.6,12.8,31,33.72999954,18.597609,2
659_0,161,11,130.8522146,317.11975,59,70,6.9,9.5,-3,15.75999928,14.540784,2
660_0,122,11,-72.87867473,323.8739,46,60,8,11.3,165,29.04999924,24.574238,2
661_0,234,9,536.2094869,220.38094,46,59,8.4,11.6,-12,29.1099987,22.575748,2
662_0,170,10,687.5901872,20.621624,39,53,9.2,12.2,-110,38.04000092,1.4069921,2
664_0,232,0,856.4537896,168.78682,37,53,9.3,12.9,39,37.36000061,33.6833,2
665_0,218,10,985.6653362,177.6555,62,79,5.5,8,75,26.37999916,13.195791,2
666_0,186,10,558.4966231,274.72803,60,74,7.2,8.5,-71,22.78999901,0.84469426,2
667_0,219,10,-158.0009142,180.40399,53,72,6.8,9.1,72,18.56999969,15.323573,2
668_0,186,10,1137.293744,257.31366,49,60,8.2,11.4,54,25.51000023,2.6142797,2
669_0,231,10,1223.003441,188.82936,62,76,5.8,8.6,-56,18.30999947,23.828356,2
