system:index,CHILI,EVH,RdNBR_early,RdNBR_update,comp,diff,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,max_FRP,Max Gust,Slope,Structural Class,sum_FRP
140_0,181,9,711.6635385,379.0702459,711.6635385,332.5932926,284.70358,47,56,9.3,11.5,-27,2994.1272,30.25,8.641474,1,172455.5318
141_0,184,8,-16.65336747,260.798659,260.798659,-277.4520265,134.01315,52,72,6.8,9.3,-46,3477.3884,16.81999969,3.7014694,1,624368.0019
142_0,182,1,924.0755706,518.7970417,924.0755706,405.2785289,113.79371,42,54,9.3,12.8,-22,8234.887,17.18000031,9.294602,1,361775.9399
143_0,224,1,1205.473722,914.8064478,1205.473722,290.6672742,216.5367,44,57,8.9,11.7,117,8635.756,18.93000031,16.249954,1,434501.2462
144_0,179,10,884.3943251,692.5976255,884.3943251,191.7966996,123.50742,48,58,8.3,11.7,16,3104.0508,29.03999901,21.450686,1,64324.19946
145_0,226,10,961.0298578,418.9185593,961.0298578,542.1112985,167.28493,41,53,8.9,12.7,-61,7017.6133,33.34999847,27.974026,1,351108.7128
146_0,64,11,529.0601616,434.6867256,529.0601616,94.373436,359.1339,62,76,5.8,8.6,128,9654.514,18.30999947,30.430372,1,387462.6733
147_0,160,9,714.5808565,419.7811947,714.5808565,294.7996618,19.809946,38,52,9.9,12.2,45,5274.028,30.88999939,4.976589,1,76085.81708
148_0,221,11,1201.275907,660.7587736,1201.275907,540.5171334,233.6575,62,76,5.8,8.6,-28,9639.897,20.82999992,17.442202,1,799829.825
149_0,163,11,1099.35748,269.7829733,1099.35748,829.5745067,289.5343,32,46,10.9,13.5,15,2240.8599,36.18000031,20.213514,1,152901.0496
150_0,205,1,883.4263254,368.4787676,883.4263254,514.9475578,264.3695,66,83,5.2,7.3,-2,2024.0184,20.17000008,21.151274,1,17659.47299
151_0,166,11,1109.923476,464.1417482,1109.923476,645.7817278,284.57617,62,76,5.8,8.6,-4,9639.897,22.71999931,25.351221,1,799829.825
152_0,186,11,1038.301766,524.3528234,1038.301766,513.9489426,144.05545,33,48,11.1,13.1,4,2122.7507,29.71999931,11.066953,1,29004.28644
153_0,177,9,752.3928478,731.0449545,752.3928478,21.3478933,108.054726,49,70,6.8,9.7,-60,8555.297,20.8599987,20.087536,1,746382.1526
154_0,130,9,679.3293607,611.0535483,679.3293607,68.2758124,334.5975,59,70,6.9,9.5,-29,9639.897,22.94999886,15.002368,1,799829.825
155_0,131,0,-8.307130517,916.5118549,916.5118549,-924.8189854,77.606316,51,72,6.7,9.2,-19,8555.297,20.8599987,32.008724,1,746382.1526
156_0,97,10,928.5854226,427.1456,928.5854226,501.4398226,79.18575,47,56,9.3,11.5,24,7942.76,30.25,34.915718,1,257075.6003
157_0,159,0,1843.67865,709.0148549,1843.67865,1134.663795,113.43669,51,72,6.7,9.2,-35,8555.297,18.84000015,23.05048,1,746382.1526
158_0,173,9,837.7582334,977.9957937,977.9957937,-140.2375603,110.52028,52,72,6.8,9.3,-53,3477.3884,16.23999977,13.426974,1,624368.0019
159_0,120,11,717.9166029,922.8431047,922.8431047,-204.9265018,18.510437,54,75,6.8,8.5,45,2528.7505,14.75999928,16.948977,1,43971.3349
160_0,117,1,703.0081375,895.4243078,895.4243078,-192.4161703,338.17877,62,76,5.8,8.6,-1,8763.596,20.79999924,27.943398,1,446451.4145
161_0,57,11,230.9019922,59.62177364,230.9019922,171.2802186,19.209116,48,62,8.1,10.7,-23,7682.297,22.54999924,33.06004,1,613549.404
163_0,202,1,1229.767139,876.6620659,1229.767139,353.1050731,154.84352,40,53,10.3,12.3,2,8635.756,18.30999947,11.694071,1,434501.2462
166_0,217,8,-34.86629977,7.597925621,7.597925621,-42.46422539,251.3233,54,75,6.7,8.5,33,1501.6804,12.50999928,35.42236,1,19535.14777
167_0,119,9,1084.433371,870.410223,1084.433371,214.023148,101.00442,43,59,8.4,11.7,54,5886.768,26.3599987,35.740612,1,90087.59467
168_0,126,1,1311.937366,1060.519615,1311.937366,251.417751,103.575165,43,54,9.4,12.7,-70,7390.278,25.15999985,30.104836,1,163419.5043
169_0,156,10,776.0008478,636.8199387,776.0008478,139.1809091,35.311394,46,60,8.2,11.5,67,9606.4,20.04999924,9.2621155,1,497663.9528
170_0,177,11,785.0453017,-204.5995996,785.0453017,989.6449013,277.30023,61,74,6.2,8.9,63,9715.495,21.39999962,33.084194,1,630853.6157
171_0,209,10,1055.288244,751.1187826,1055.288244,304.1694614,150.65042,41,54,8.8,12.4,87,8953.744,32.89999771,26.442364,1,255980.0233
172_0,218,10,1217.408657,840.8186649,1217.408657,376.5899921,187.03886,40,51,10.3,13.2,-81,6127.1265,25.17000008,18.205029,1,271593.9316
173_0,169,10,928.9827799,352.2941927,928.9827799,576.6885872,178.03375,44,58,8.6,11.7,104,8852.45,30.6799984,3.1144412,1,334677.4101
174_0,195,11,65.48452482,220.0478645,220.0478645,-154.5633397,266.65518,46,60,8.2,11.5,-64,6635.1235,18.96999931,18.125603,1,397878.3645
175_0,168,11,654.5405219,-403.4157177,654.5405219,1057.95624,307.1294,43,55,9.2,12.4,36,2538.509,20.09000015,15.506352,1,302981.1538
176_0,195,11,919.2064888,446.1296199,919.2064888,473.0768689,286.1116,44,55,9.7,11.7,54,4227.234,24.14999962,12.422676,1,123803.7121
177_0,199,9,462.7214898,232.3563853,462.7214898,230.3651045,141.5477,53,71,7.1,9.3,-71,1207.7715,16.82999992,30.718227,1,17543.24258
178_0,238,10,1012.255599,451.4971272,1012.255599,560.7584718,176.76099,47,60,8.2,11.3,-23,5176.3076,23.61999893,31.44781,1,623241.7799
179_0,192,1,1062.299909,451.5660252,1062.299909,610.7338838,130.5601,51,64,7.5,10.8,17,4882.8223,23.07999992,17.787712,1,152197.5562
180_0,188,10,-60.25482396,-75.05232064,-60.25482396,14.79749668,225.48619,55,77,6.4,8.1,54,2461.5295,14.89999962,2.6005783,1,132157.7218
181_0,220,10,1179.861222,580.2519642,1179.861222,599.6092578,203.12761,44,57,9.3,11.6,-30,8612.478,24.46999931,13.663433,1,99331.91638
182_0,201,11,1383.736957,933.3018949,1383.736957,450.4350621,176.60504,66,83,5.2,7.3,69,7198,20.17000008,7.431813,1,214883.4157
183_0,75,1,1153.599445,499.3796124,1153.599445,654.2198326,48.908455,43,56,9.2,12,-41,8635.756,17.73999977,30.79717,1,434501.2462
185_0,140,11,933.9308194,860.0924729,933.9308194,73.8383465,308.2112,46,62,8,10.4,72,4095.4878,21.38999939,28.79524,1,311678.5315
186_0,204,9,744.8170991,529.8060471,744.8170991,215.011052,160.65863,43,55,9.2,12.4,-37,2538.509,14.79999924,11.227112,1,302981.1538
187_0,196,11,110.9111864,70.73558757,110.9111864,40.17559883,148.92694,41,55,9.8,11.7,19,2062.949,19.70999908,11.4366455,1,28920.27936
188_0,183,11,1178.309647,889.5553311,1178.309647,288.7543159,285.604,65,83,5.7,7.2,78,1194.8325,19.43000031,22.319742,1,29251.80179
189_0,210,4,-71.40646169,-133.1310597,-71.40646169,61.72459801,219.37921,52,71,7.1,9.4,30,2974.4495,18.56999969,9.747046,1,22019.91022
190_0,130,1,999.1290786,837.9754094,999.1290786,161.1536692,12.884126,61,72,6.8,9,41,9427.603,21.32999992,16.915888,1,566920.4847
191_0,143,11,1145.671767,759.351147,1145.671767,386.32062,71.1545,32,46,11,13.6,4,6709.53,29.51000023,15.362638,1,34470.62775
192_0,218,1,708.1943561,228.3385602,708.1943561,479.8557959,185.96474,38,50,10.8,12.8,-21,6749.956,16.90999985,11.7355175,1,177368.6538
193_0,161,10,989.465692,796.9161925,989.465692,192.5494995,134.64621,50,61,7.8,11.2,-14,1545.0306,20.89999962,43.67241,1,46894.06561
194_0,149,9,588.6670671,637.1880409,637.1880409,-48.5209738,88.450836,50,67,7.1,10,6,6879.1196,25.59000015,20.559835,1,339724.305
195_0,236,10,1140.024208,324.2050573,1140.024208,815.8191507,227.36653,46,59,8.4,11.6,-44,7682.297,27.29999924,29.902372,1,613549.404
196_0,135,1,1183.127094,856.6328237,1183.127094,326.4942703,355.70007,51,64,7.5,10.8,38,9968.885,23.07999992,15.928507,1,228130.5503
197_0,155,1,942.4793717,544.7160193,942.4793717,397.7633524,298.34113,43,58,8.2,11.7,32,7063.4434,33.54999924,22.270086,1,471649.5624
198_0,184,1,933.6143804,378.767999,933.6143804,554.8463814,123.63482,41,53,9.8,12.3,63,7682.297,25.01000023,20.591518,1,613549.404
199_0,99,10,465.2743731,619.3096639,619.3096639,-154.0352908,340.60092,50,62,7.6,11,81,8049.3516,23.59000015,22.938698,1,203292.1989
200_0,159,11,1016.43473,740.2435055,1016.43473,276.1912245,20.913065,62,76,5.8,8.6,-44,9639.897,22.71999931,7.4092627,1,799829.825
201_0,184,10,715.3819799,503.4847329,715.3819799,211.897247,270.86157,37,53,9.1,12.7,-6,1830.0858,33.57999802,5.9027796,1,27045.73596
202_0,105,10,1030.612973,309.8719008,1030.612973,720.7410722,12.432929,45,59,8.4,11.4,-57,7063.4434,32.18000031,23.231482,1,471649.5624
203_0,207,10,1473.124812,828.5648281,1473.124812,644.5599839,143.1121,61,75,6.2,8.6,5,5564.7725,14.92000008,14.689659,1,332816.9231
204_0,25,11,1018.148964,646.2094285,1018.148964,371.9395355,50.695354,59,74,6.2,9,9,4115.002,15.88000011,43.188656,1,343079.9783
205_0,111,11,890.0838058,711.9414284,890.0838058,178.1423774,314.54465,46,64,7.2,10.9,5,7363.287,32.16999817,30.110386,1,294627.0363
206_0,97,1,1161.159958,646.0551239,1161.159958,515.1048341,347.03082,44,57,8.8,12.1,-9,3361.447,26.22999954,26.027187,1,60491.20087
207_0,190,1,1212.981974,712.1232522,1212.981974,500.8587218,228.64755,33,47,10.1,13.7,-4,2240.8599,35.54000092,4.97062,1,152901.0496
208_0,196,11,493.8500359,713.6550876,713.6550876,-219.8050517,265.493,50,68,7,10,-32,8971.249,34.30999756,15.577843,1,483670.3633
210_0,225,11,933.6339973,245.1267377,933.6339973,688.5072596,225.55031,38,53,9.1,12.5,35,7916.7334,35.27999878,19.765896,1,256106.0649
211_0,181,10,783.7762701,532.5123204,783.7762701,251.2639497,155.74663,46,54,9.5,11.8,-44,2860.986,28.69999886,0.8117999,1,139111.4551
212_0,137,10,1173.622249,-534.5095843,1173.622249,1708.131833,331.71115,41,58,8.3,12,4,9783.95,34.75,14.572565,1,144693.3721
213_0,224,1,1036.008896,598.243808,1036.008896,437.765088,228.7844,51,64,7.5,10.8,-31,4882.8223,21.01000023,21.738045,1,152197.5562
214_0,229,11,1128.739908,538.4827469,1128.739908,590.2571611,239.28944,44,56,9.1,12.2,53,9781.519,25.36999893,30.633032,1,45142.86877
216_0,169,10,759.1018206,440.3464922,759.1018206,318.7553284,314.2761,35,46,11.2,13.4,-110,7380.509,24.1099987,8.812731,1,228074.5522
217_0,47,11,-12.84970344,508.8331225,508.8331225,-521.6828259,343.66083,36,48,10.3,13.3,-162,6886.686,21.5,39.000435,1,98582.65674
