year,ecoregion,state,severity,struccond,hectares_burned,lsr_hectares_burned,region_hectares,region_lsr_hectares,region_og_hectares,region_lsr_og_hectares,yr_group
1986,Western Cascades,Oregon,Low,Nonforest,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Nonforest,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Nonforest,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Nonforest,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Nonforest,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Sparse,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low,Sparse,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Sparse,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Sparse,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Sparse,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Sparse,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Open,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low,Open,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Open,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Open,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Open,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Open,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Sapling/pole - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low,Sapling/pole - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Sapling/pole - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Sapling/pole - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Sapling/pole - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Sapling/pole - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Small/medium tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low,Small/medium tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Small/medium tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Small/medium tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Small/medium tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Small/medium tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Large tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low,Large tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Large tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Large tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Large tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Large tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very low / unburned,Large/giant tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low,Large/giant tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Low / moderate,Large/giant tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Moderate / high,Large/giant tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,High,Large/giant tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Oregon,Very high,Large/giant tree - moderate/closed,0.0,0.0,2894036.740370086,539256.5354734417,897722.55,255562.2,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Nonforest,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Nonforest,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Nonforest,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Nonforest,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,High,Nonforest,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very high,Nonforest,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Sparse,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Sparse,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Sparse,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Sparse,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
